Sl no.,AX ID,Workshop Names,Location,Country,Agent,Corporate Type
675,AX1755849659659,ARIHANT AUTO ZONE,KhedShivapur,India,Sashikala,General
676,AX1748849490615,SPEEDY GARAGE,UAE,United Arab Emirates,Sigod,General
677,AX1721392130179,AVALON CAR LAB A MULTI-BRAND CAR YARD,ALAPPUZHA,India,Unnimaya,General
678,AX1751259243728,UMADEVI AUTO SCANNERS,Rajamahendravaram,India,Sashikala,General
679,AX1767588012429,ADVANZ TECH AUTO GENERAL REPAIRING L.L.C CO.L.LC,United Arab Emirates,United Arab Emirates,Sigod,General
680,AX1779770989970,SRI VENKATA VIJAYA AUTO CAR SPLASH,MACHILIPATNAM,India,Sashikala,General
681,AX1762233603552,CYPRUS AUTO MAINTENANCE WORKSHOP,Sharjah,United Arab Emirates,Afrah/Shajan,General
682,AX1775449936813,STELLANTIS,Hyderabad,India,0,General
683,AX1752391183878,AMRUT MOTORS,SURAT,India,Aniketh,General
684,AX1726806856070,CAR SERVICE CENTER,Thrissur,India,Unnimaya,General
685,AX1718694946650,BLACK PHANTOM AUTO SERVICES,Mussafah,United Arab Emirates,Basava,General
686,AX1755405014955,DOUBLE J AUTO WORKSHOP W.L.L,Doha,Qatar,Sigod,General
687,AX1752555980339,QUANTUMNET LTD,Gambia,Gambia,Afrah/Shajan,General
688,AX1722252337922,SRIRAM AUTHORISED SERVICE STATION,Telangana,India,Sashikala,General
689,AX1759130839467,LAKSHANA CARS,Coimbatore,India,Unnimaya,General
690,AX1753852745781,MOTORHOOD,Chennai,India,Unnimaya,General
691,AX1726835941800,VRX AUTOMOTIVE,Chicago,United State,Unnimaya/Afrah,General
692,AX1751605135972,3S AUTO DIAGNOSTICS,"Bhubaneswar, Khhordha",India,Veeresh,General
693,AX1760684737850,MASTER MECHANIX,Hyderabad,India,Sashikala,General
694,AX1722412646806,MOTOR MINES PRIVATE LIMITED,Chennai,India,Unnimaya,General
695,AX1759233645237,EUROTECH MOTORS,Bangalore,India,Basava,General
696,AX1722690790772,VALLEY MOTO,Hamirpur,India,Veeresh,General
697,AX1728281149554,GENUINE CAR CARE,Bangalore,India,Basava,General
698,AX1726470540461,SHRI AMBIKA MOTORS,Jaipur,India,Aniketh,General
699,AX1723196084222,ELEANOR PERFORMANCE RACING,Pune,India,Sashikala,General
700,AX1760598242974,CHECK ENGINES,Ranga Reddy,India,Sashikala,General
701,AX1729233743194,THIYAGU AUTOMOTIVES,Erode,India,Unnimaya,General
702,AX1760612072151,YUVAAN MOTORS,Hyderabad,India,Sashikala,General
703,AX1761544310852,GOBYK CHANDANAGAR,Hyderabad,India,Basava,General
704,AX1724317655947,SR WHEELS,Hyderabad,India,Sashikala,General
705,AX1757485100269,DAHABSHIIL MOTORS -SERVICE,Hargeisa,Somalia,Sigod,General
706,AX1750396218618,ACTION AUTO GARAGE LIMITED,Morogoro,Tanzania,Afrah/Shajan,General
707,AX1758272834083,RADHE-RADHE MOTORS,Panipat,India,Danya,General
708,AX1759813769566,4 WHEEL AUTOMOTIVE,Buldhana,India,Sashikala,General
709,AX1725256525781,CARTECH,Ernakulam,India,Unnimaya,General
710,AX1731587196543,EURO MECH,Hyderabad,India,Sashikala,General
711,AX1768566031921,GOBYK PRAGATHINAGAR,Hyderabad,India,Basava,General
712,AX1760081600940,FRIENDLY MOTORS,Hassan,India,Basava,General
713,AX1725972099318,GEARS AND PISTONS SERVICE CENTER,Bengaluru,India,Basava,General
714,AX1758281839095,SRI SENDUR MOTORS PVT LTD,TIRUCHENGODE,India,Unnimaya,General
715,AX1760607478349,R K MOTORS,Chengannur,India,Unnimaya,General
716,AX1758630230691,NAGPUR TYRES,Maharashtra,India,Sashikala,General
717,AX1772819123329,TAKUMI MOTOR WORKS,"Dubai,",United Arab Emirates,Afrah/Shajan,General
718,AX1761042328763,DIAMOND MOTORS,Ahmednagar,India,Sashikala,General
719,AX1729755079184,PRECISION PITSTOP,RIYADH,Saudi Arabia,Sigod,General
720,AX1760676790948,REFIX AUTOMOTIVE,Hyderabad,India,Rakesh,General
721,AX1761829609320,CAVALLO CARS CARE PRIVATE LIMITED,Bengaluru,India,Basava,General
722,AX1732170302655,NEW VELOCITY MOTORS,Pune,India,Sashikala,General
723,AX1762234459232,SREE MOTORS,",",India,Rakesh,General
724,AX1768802878617,VISHNU MOTORS,JALGAON,India,Sashikala,General
725,AX1766746806823,AUTO LOUNGE,PCMC,India,Aniketh,General
726,AX1766750542350,CREATIVE CAR EXPERTS,Faridabad,India,Danya,General
727,AX1762260799783,AVILLION MOTORS PVT LTD,MUMBAI,India,Sashikala,General
728,AX1731391054454,AKSHAYA CAR CARE,Bangalore,India,Sashikala,General
729,AX1764591972000,AS MOTORSPORT,",",India,Rakesh,General
730,AX1779524633555,GVS GARAGE68 PRIVATE LIMITED,Sadar,India,Aniketh,General
731,AX1764321213629,SUDDALWAR AUTOMOTIVE,",",India,Sashikala,General
732,AX1771821868925,AUTO CLINIC,Mumbai,India,Sashikala,General
733,AX1735716597822,READY START AUTOMOTIVES,Chennai,India,Unnimaya,General
734,AX1770280902333,ATLANTIC ROADWAYS ENTERPRISES LLC,Muscat,Oman,Sigod,General
735,AX1765343095588,VNP MOTORS PVT LTD,",Solapur",India,Sashikala,General
736,AX1738041930330,AUTO SERV,",",India,Veeresh,General
737,AX1769667525907,ROYALS MOTORS,",",India,Aniketh,General
738,AX1734932036271,ECO WORKSHOP,",",India,Rakesh,General
739,AX1771999246449,CROOZR AUTO CENTER AND TRADING,Doha,Qatar,Sigod,General
740,AX1765449829198,AUTO HEALTH CARE SERVICES,Nashik,India,Aniketh,General
741,AX1737030913505,TORQUEAUTO SPECIALIST IN PREMIUM CARS,Hyderabad,India,Rakesh,General
742,AX1769863350144,CRYSTAL CAR CARE,Kozhikode,India,Unnimaya,General
743,AX1740632853586,SERVICE CITY,VADAKARA,India,Unnimaya,General
744,AX1771392470281,PROTECH AUTO,Nashik,India,Sashikala,General
745,AX1775191534792,MOTORCARE,Doha,Qatar,Afrah/Shajan,General
746,AX1773117801497,PUSHPRAJ MOTORS,Lalitpur,India,Aniketh,General
747,AX1774950994612,SRINIVASA ROAD TRANSPORT PRIVATE LIMITED,Hyderabad,India,Rakesh,General
748,AX1774421017748,KAARTIKEYA CAR CARE,Hyderabad,India,Rakesh,General
749,AX1773393823571,MULLER MOTORS VEHICLES MECHANICS REPAIR,Abu Dhabi,United Arab Emirates,Sigod,General
750,AX1779886792222,SRI ANJANEYA AUTOMOBILES,Tq Chincholi,India,Sashikala,General
751,AX1771933788985,TRINITY AUTOSPACE,Pune,India,Sashikala,General
752,AX1750064850103,KHAN AUTOMOTIVE,BEHARBARI,India,Veeresh,General
753,AX1743675302336,GOBYK KUKATPALLY PREMIUM,Hyderabad,India,Basava,General
754,AX1775552629036,URBAN MECHANIC,Ludhiana,India,Veeresh,General
755,AX1750396130162,ACTION AUTO GARAGE LIMITED,Dodoma,Tanzania,Afrah/Shajan,General
756,AX1776075670445,PATEL AUTOCARE SERVICES,",",India,Aniketh,General
757,AX1777368219051,MJ AUTOMOBILE PRIVATE LIMITED,Indore,India,Veeresh,General
758,AX1774957428407,ENZO MOTORS,Hyderabad,India,Rakesh,General
759,AX1750746956634,SIYARAM AUTOMOBILES,"Greater Noida, Gautambuddha Nagar",India,Aniketh,General
760,AX1777012302506,EXL AUTO WORKS,Guwahati,India,Veeresh,General
761,AX1776144593226,MULTITECH CAR CARE,",",India,Basava,BOSCH
762,AX1751626767364,S S AUTOMOBILES,Kaman,India,Aniketh,General
763,AX1749121511650,ACE AUTOCARE,",",India,Aniketh,General
764,AX1778676369046,MMG AUTONATION,Noida,India,Aniketh,General
765,AX1770355737904,VPX SAN PEDRO,Laguna,Philippines,Basava,General
766,AX1752232033080,V12 AUTO MULTI BRAND CAR SERVICE & BODY SHOP,Kottayam,India,Unnimaya,General
767,AX1748239525198,HIGH ON TORQUE,Noida,India,Aniketh,General
768,AX1753447537404,PRESTIGE MOTORS,Gurugram,India,Veeresh,General
769,AX1748935970491,GS MOTORS,Gangapur,India,Aniketh,General
770,AX1780294047313,SHREE KRISHNA AUTOMOBILE,Alwar,India,Aniketh,General
771,AX1752486415846,GURU DATTA MOTORS,Hyderabad,India,Rakesh,General
772,AX1752486359248,SAI MOTORS,Hyderabad,India,Rakesh,General
773,AX1718108788213,S J MOTORS,GWALIOR,India,Veeresh,General
774,AX1749703957986,VIHANA AUTOMOBILES,Near Kambopura,India,Danya,General
775,AX1756701534299,MS AUTOMOBILES,",",India,Rakesh,General
776,AX1750150044266,SUDHA BUSINESS ENTERPRISES PRIVATE LIMITED,HEHAL,India,Veeresh,General
777,AX1780047726590,CITY GARAGE,თბილისი,Georgia,Tech team,General
778,AX1780047615111,AUTO DETAIL SERVICE,თბილისი,Georgia,Basava,General
779,AX1758782307895,TORQUE AUTOMOTIVE,Curchorem,India,Veeresh,General
780,AX1767693387397,AMOGH MOTORS,Vijayapura,India,Sashikala,General
781,AX1750827076342,BALAJI MOTORS,MANGALORE,India,Basava,General
782,AX1750846424923,VR AUTOMOBILES,",",India,Rakesh,General
783,AX1751004475685,CARSAZ,Thane,India,Sashikala,General
784,AX1753786920892,PPRINCENOOR AUTOCARE PRIVATE LIMITED,Navi Mumbai,India,Sashikala,General
785,AX1750150849384,AG MOTORS,",",India,Aniketh,General
786,AX1761209914293,GAN BROTHER'S WORKSHOP SDN BHD,Mukim Pekan,Brunei,Tech team,General
787,AX1762148068320,AUTO DYNASTY GLOBAL SERVICES PRIVATE LIMITED,Gurugram,India,Danya,General
788,AX1720079535306,TANZANIA CARS,Dodoma,Tanzania,Afrah/Shajan,General
789,AX1721111840411,SMARTRUGAMI ENTERPRISES,Pune,India,Sashikala,General
790,AX1752491849202,TURTLE MOTORS,Bengaluru,India,Veeresh,General
791,AX1753767775912,HARSHAL MOTORS,Nagpur,India,Aniketh,General
792,AX1752829877762,TULSI MOTORS,JAIT MATHURA,India,Aniketh,General
793,AX1753102238576,AUTO BAY GARAGE,Doha,Qatar,basava,General
794,AX1770097317778,CASA PRIME AUTO CENTRUM,Sorsogon City,Philippines,Afrah/Shajan,General
795,AX1722595110126,AKANKSHA ASSOCIATES,Moradabad,India,Aniketh,General
796,AX1754996475022,CAR CARE SERVICE HUB,Hyderabad,India,Rakesh,General
797,AX1757494422230,EAST ARABIAN EST LLC,",",Oman,Sigod,General
798,AX1757494396101,EAST ARABIAN EST LLC,",",Oman,Sigod,General
799,AX1760525967496,L N MOTORS,West Godavari,India,Rakesh,General
800,AX1759236751025,PERFECT MARUTI CARE,CHENNAI,India,Unnimaya,General
801,AX1757418093009,ENGINEER CUSTOM MOTORS,Al Eker,Bahrain,Sigod,General
802,AX1758540675230,SRIDHEV MOTORS,Erode,India,Unnimaya,General
803,AX1755671608573,RUIA CARE MULTI BRAND CAR WORKSHOP,Kolkata,India,Veeresh,General
804,AX1727932355131,JN CAR CARE,Bangalore,India,Sashikala,General
805,AX1765357527850,GENZ AUTOCRAFTS,Hyderabad Rangareddy Dist,India,Kavya,General
806,AX1756799105070,SHIVRUDR CAR,Pune,India,Sashikala,General
807,AX1764584083119,GOBYK GANDIMAISAMMA,Hyderabad,India,Basava,General
808,AX1756380196083,PREMIUM ZONE AUTOMOBILE SERVICES COMPANY,Riyadh,Saudi Arabia,Sigod,General
809,AX1756541696291,3RD GENERATION INDUSTRIES PTY LTD,South Africa,South Africa,Afrah/Shajan,General
810,AX1759734214711,VINAYAKA CARS HUB,Hyderabad,India,Rakesh,General
811,AX1761824400960,BIG MACHINES,Hyderabad,India,Rakesh,General
812,AX1762839850248,SREE BHAVARAJU AUTOMOBILES PVT LTD,Hyderabad,India,Rakesh,General
813,AX1758796008372,TRISHAAN MOTORS,INDORE,India,Veeresh,General
814,AX1763530384326,SRI PARKASH AUTOMOBILES,",",India,Danya,General
815,AX1756126154858,CARNAUTICS,Bangalore,India,Veeresh,General
816,AX1757334750308,MOTOWINGS LLC,",",United Arab Emirates,Sigod,General
817,AX1727871394178,OP,City,India,Shajan,General
818,AX1759989518867,MEKANIX,Pune,India,Sashikala,General
819,AX1760694813380,AUTOTECH CENTRE,Kampala,Uganda,Sigod,General
820,AX1759309426248,RADHEKRISHNA INNOVATIONS,Chattisgarh,India,Veeresh,General
821,AX1761644206732,HYPER CARS,Mangalore,India,Sashikala,General
822,AX1761561103608,SODHA MOTORS,Gujarat,India,Aniketh,General
823,AX1761829393565,DIVINE PERFORMANCE,Nagpur,India,Sashikala,General
824,AX1759296454471,SHREE GAJANAN AUTO CARE,Buldhana,India,Aniketh,General
825,AX1770619009281,ACTION AUTO GARAGE LTD - KIZOTA,Dodoma,Tanzania,Afrah/Shajan,General
826,AX1730460149986,V.S REDDY MOTORS,R.R District,India,Rakesh,General
827,AX1765359102250,TG WORKSHOP,",",United Arab Emirates,Afrah/Shajan,General
828,AX1765861472402,A4 CARS,",",India,Unnimaya,BOSCH
829,AX1762860989440,4D CAR DETAILER,NASHIK,India,Sashikala,General
830,AX1765537223474,GARUDA SPARE PARTS,Bengaluru Urban,India,Basava,General
831,AX1763547416645,RAJORA WORKSHOP,NIMBAHERA,India,Aniketh,General
832,AX1763373656692,EXPERTHUB,თბილისი,Georgia,Tech team,General
833,AX1763373689915,TOYOTA CENTER TEGETA,თბილისი,Georgia,Tech team,General
834,AX1761906830678,SRINIVASA CAR CARE,Hanamkonda,India,Rakesh,General
835,AX1766481498715,VA SUPER MOTORS,"VANUR T.K,Auroville, Viluppuram",India,Unnimaya,General
836,AX1764989622882,METRE PER SECOND - PREMIUM CAR SERVICE & REPAIR,Hyderabad,India,Rakesh,General
837,AX1766752872093,KARR KRAFTS HOLDINGS PRIVATE LIMITED,Hyderabad,India,Rakesh,General
838,AX1772010697934,AUTOMATION,GUWAHATI,India,Veeresh,General
839,AX1764744618724,RLS FORCE MOTORS,Suryapet,India,Rakesh,General
840,AX1765450256965,MIRAI GARAGE,Villupuram,India,Unnimaya,General
841,AX1767098949196,AUTOMED 360,Mumbai Suburban,India,Sashikala,General
842,AX1769769321531,SBM AUTO GARAGE,CHENNAI,India,Unnimaya,General
843,AX1765974203154,AUTOELIX CARS PRIVATE LIMITED,Hodal Palwal,India,Veeresh,General
844,AX1767095441970,OCEAN INTERNATIONAL,Riyadh,Saudi Arabia,Tech team,General
845,AX1734589810498,MARUTTI SERVICE CENTRE,Gurugram,India,Sashikala,General
846,AX1766121734336,TECHNICAL RESOURCES GENERAL AUTOS SERVICES CENTRE LLC,Abu Dhabi,United Arab Emirates,basava,General
847,AX1766121672572,TECHNICAL RESOURCES GENERAL AUTOS SERVICES CENTRE LLC,AWS (DXB),United Arab Emirates,basava,General
848,AX1766121787656,TECHNICAL RESOURCES GENERAL AUTOS SERVICES CENTRE LLC,,United Arab Emirates,basava,General
849,AX1766041269973,SRI VELAVAN MOTORS,Chennai,India,Unnimaya,General
850,AX1767596031860,MOTO XPERTS,Bengaluru,India,Basava,BOSCH
851,AX1767073341149,VPX PASIG,Pasig City,Philippines,Basava,General
852,AX1767862732050,SLN CAR SERVICE,Bangalore,India,Sashikala,General
853,AX1768196685540,GOLDEN MOTORS,Guntur,India,Rakesh,General
854,AX1767612688712,SHADES OF GREEN SAFARIS LIMITED,23 Mateves,Tanzania,Sigod,General
855,AX1768900945331,THE DRIFT AUTOMOTIVE,Hyderabad,India,Rakesh,General
856,AX1737438615723,GLOBAL CARE TECH,COIMBATORE,India,Unnimaya,General
857,AX1770097100768,MR. RAAVAN MOTOGARAGE,Coimbatore,India,Unnimaya,General
858,AX1771492955497,TWIGA AUTO GROUP,Dar Es Salaam,Tanzania,Sigod,General
859,AX1769688082959,GURURENUKA MOTORS,Shimoga,India,Basava,General
860,AX1771304070239,SILVER MOTORS PRIVATE LIMITED,Pune,India,Danya,General
861,AX1770805719052,SR MECHANIC ZONE,Vijayawada,India,Rakesh,General
862,AX1772534141035,JM AUTOMOTIVES,Hyderabad,India,Rakesh,General
863,AX1752731106369,SRI LAKSHMI GANAPATHI MOTORS,Hyderabad,India,Rakesh,General
864,AX1774082202374,SWAMY AUTOMOTIVES,"Hassan,",India,Basava,General
865,AX1779277943931,EXPRESS CAR CARE,Pollachi,India,Unnimaya,General
866,AX1771492719209,XTREME AUTO,Junagadh,India,Aniketh,General
867,AX1776427182402,ESSAR MOTORS,BENGALURU,India,basava,General
868,AX1741168732004,LUCKY HI - TECH CAR CARE,Pollachi,India,Unnimaya,General
869,AX1777291927239,PRESTIGE AUTOMOBILES,Kottayam,India,Unnimaya,General
870,AX1774859866761,GT AUTO CENTRE,United Arab Emirates,United Arab Emirates,Afrah/Shajan,General
871,AX1770031870830,SAINATH MOTORS,Hyderabad,India,Rakesh,General
872,AX1773037041151,HITANSHI MOTORS,New Delhi,India,Rakesh,General
873,AX1773145416751,HONNASIRI CAR CARE,Hunsur,India,Basava,General
874,AX1778649302366,GAUP AUTOMOTIVE TECHNOLOGIES PRIVATE LIMITED,Gurugram,India,Veeresh,General
875,AX1772082856266,STROKERS GARAGE,Kottayam,India,Unnimaya,General
876,AX1780292288935,PREMIUM TECH AUTO SERVICE,Fujairah,United Arab Emirates,Afrah/Shajan,General
877,AX1773813328446,SARTHAK DETAILING (INDIA) PRIVATE LIMITED,Jaunpur,India,Aniketh,General
878,AX1773138712664,VPX GENERAL SANTOS,General Santos City,Philippines,Basava,General
879,AX1777453212260,MAAN MOTORS,PANIPAT,India,Veeresh,General
880,AX1743156117208,REVIVE AUTO PRIVATE LIMITED,Hyderabad,India,Rakesh,General
881,AX1743499622869,AUTO MARC,FARIDABAD,India,Sashikala,General
882,AX1776679899392,MEDO TRADING L.L.C,Dubai,United Arab Emirates,Afrah/Shajan,General
883,AX1743658581691,AUTOPIA,Hyderabad,India,Rakesh,General
884,AX1777545575595,VIMAL CAR GARAGE,Chennai,India,Unnimaya,General
885,AX1773814009161,SARATHI MOTORS AND AUTO PARTS,AMRELI,India,Aniketh,General
886,AX1773641114488,AUTO ADVISOR,Pune,India,Aniketh,General
887,AX1775631604361,ROSMERTA DIGITAL SERVICES LIMITED,Gurugram,India,Veeresh,General
888,AX1774085905741,NMP CARS LLP,Ahmedabad,India,Aniketh,General
889,AX1774853400675,SHIVRUDRA CARS,Pune,India,Sashikala,General
890,AX1776070898753,MOOBI SASU,Ivory Coast,Côte d'Ivoire,Sigod,General
891,AX1777008561896,FIRST GEAR HUB,Guwahati,India,Veeresh,General
892,AX1774852761678,ORIO CAR & CARE PRIVATE LIMITED,Salem,India,Unnimaya,General
893,AX1767095805681,INFINITY MOTORS,Pune,India,Sashikala,General
894,AX1751096227343,ALWAY MOTORS,Gangavathi,India,Sashikala,General
895,AX1746531607772,CRANKSHAFT AUTOMOBILE,Pune,India,Sashikala,General
896,AX1775822162480,RUPA MOTORS,Hyderabad,India,Rakesh,General
897,AX1778587599974,AUTO LOUNGE,Pune,India,Sashikala,General
898,AX1747723138348,TRX AUTO SERVICE CENTER,Dubai,United Arab Emirates,Basava,General
899,AX1747829246548,CAROPEDIA,P O Bijaynagar,India,Veeresh,General
900,AX1776946307389,PROTECH AUTOKRAFT,Nashik,India,Danya,General
901,AX1748341480743,BROTHERS AUTOMOBILES,HAZARIBAG,India,Veeresh,General
902,AX1780294501415,HARI AUTOMOBILES,Bengaluru,India,Basava,General
903,AX1749028663303,WADHWA MOTORS,Agra,India,Aniketh,General
904,AX1749531294565,LONG MILES,Pune,India,Sashikala,General
905,AX1749707918020,EXCEL AGRI SOLUTIONS,KARIMNAGAR,India,Rakesh,General
906,AX1749732112036,BENLINK AUTO,Lusaka,Zambia,Sigod,General
907,AX1749814977694,WINDSHIELD CENTRE,Bengaluru,India,Veeresh,General
908,AX1750052071133,WORLD AUTO PTE LTD,.,Singapore,Sigod,General
909,AX1750241855448,CARVICING TOTAL CAR CARE,Thane,India,Danya,General
910,AX1750402240927,THE AUTOCRAFT MOTORS,Surat,India,Aniketh,General
911,AX1750414530762,GOBYK KONDAPUR,Hyderabad,India,Basava,General
912,AX1750415489395,HERAMB AUTO CARE PVT LTD,Nashik,India,Danya,General
913,AX1750418665590,ZOOM MOTORS MULTIBRAND CARS SERVICE (TOTAL),Hyderabad,India,Rakesh,General
914,AX1750668486574,JIT MOTORS,East Medinipur,India,Veeresh,General
915,AX1750856997476,RT MOTORS (FZE),United Arab Emirates,United Arab Emirates,Sigod,General
916,AX1750929704873,THE GENUINE SPARE,Rewa,India,Veeresh,General
917,AX1750929955830,GANESH AUTOMOBILE,Gurugram,India,Veeresh,General
918,AX1751019963245,S.V.R MOTORS,Hyderabad,India,Rakesh,General
919,AX1751268169992,X-TORQUE,Bangalore,India,Basava,General
920,AX1767690776165,THE MOTO CULT,Hoskote,India,Basava,General
921,AX1751521178749,SRI SAI GANESH MOTORS,Secunderabad,India,Rakesh,General
922,AX1751524345452,SRI RUDRA MOTORS,Secunderabad,India,Rakesh,General
923,AX1751534335925,FAST TRACK CAR CLINIC,Hyderabad,India,Rakesh,General
924,AX1751540080786,LATHEEF MOTORS,Hyderabad,India,Rakesh,General
925,AX1751542944746,M/S BENIPAL AUTOMOBILES,Sahnewal,India,Aniketh,General
926,AX1751612783035,BARAVKAR AUTO,Pune,India,Sashikala,General
927,AX1751620380503,JB AUTOMOTIVE,Pune,India,Sashikala,General
928,AX1751624814204,SRI SAI MANIKANTA CAR CARE,Hyderabad,India,Rakesh,General
929,AX1751892541631,HOUSE OF CARS,GURUGRAM,India,Sashikala,General
930,AX1751967902006,HI TECH MOTORS,RAMA VIHAR,India,Veeresh,General
931,AX1752040822642,GEAR HEADS,Patna,India,Sashikala,General
932,AX1752065606382,SANS AUTO ZONE,Visakhapatnam,India,Rakesh,General
933,AX1774499813599,MOTREX LTD,Mombasa,Kenya,Basava,General
934,AX1752645221534,PARTIFY AUTO LIMITED,Dar Es Salaam,Tanzania,Sigod,General
935,AX1752656981483,VASUNDRA MOTORS,Naharlagun,India,Veeresh,General
936,AX1752660278488,AKA CAR CARE,Greater Noida,India,Aniketh,General
937,AX1752734070229,DMH AUTOMOBILES,Jaipur,India,Aniketh,General
938,AX1752830446989,ALFA CAR TECH,Surat,India,Aniketh,General
939,AX1752904814643,JAI AMBE AUTOMOBILES,Nashik,India,Danya,General
940,AX1753251921881,KAAR MECHANIC,Hyderabad,India,Kavya,General
941,AX1753704696547,EZYMAN BUSINESS SERVICES LLP,Bangalore,India,Basava,BOSCH
942,AX1753851292524,GARAGEVALLA TECHNOLOGY,Bangalore,India,Basava,General
943,AX1778735011678,ESSARR CAR CARE (BOSCH CAR SERVICE),Bangalore,India,Basava,BOSCH
944,AX1753962219093,RAZA GLASS-HOUSE & WORKSHOP,Gulbarga,India,Basava,General
945,AX1754029183368,RE-VIBE AUTO CARE,Hyderabad,India,Kavya,General
946,AX1754050422401,NANDI CAR CARE,Bangalore,India,Basava,General
947,AX1754560898862,SONY MOTORS,Morinda,India,Rakesh,General
948,AX1754572147517,HALOTECH SYSTEMS PVT LTD,Bangalore,India,Basava,General
949,AX1754630079565,PANCHKULA AUTO CARE,PANCHKULA,India,Aniketh,BOSCH
950,AX1754630536585,USHA AUTOMOBILE,Gorakhpur,India,Kavya,BOSCH
951,AX1754654748090,VINEETA MOTORS,GUNTUR,India,Kavya,General
952,AX1755001549727,FLAG PERFORMANCE,Jeddah,Saudi Arabia,Sigod,General
953,AX1755602574551,SEVEN EDITION,United Arab Emirates,United Arab Emirates,Afrah/Shajan,General
954,AX1755516437868,SABURI CAR CARE,Hyderabad,India,Kavya,General
955,AX1755756304572,MALHAR AUTOMOTIVE PRIVATE LIMITED,Indore,India,Veeresh,General
956,AX1777873151180,CHOPRA AUTOMOBILES,Jind,India,Kavya,BOSCH
957,AX1756118174290,BADABIZHUB,District - Karnal,India,Aniketh,General
958,AX1757595290772,MOTORAIZERS-SECTOR 17/18,Gurugram,India,Rakesh,BOSCH
959,AX1756462515225,VENUS GEARING & REFURB,Bengaluru,India,Basava,BOSCH
960,AX1756463544690,KRIYA MOTORS,Shivamogga,India,Basava,BOSCH
961,AX1765368722877,EXPRESS CARSPA & SERVICES,VADODARA WEST,India,Rakesh,BOSCH
962,AX1758257514408,SALEM MOTOR SERVICES,Salem,India,Kavya,BOSCH
963,AX1756706755680,RAMA KRISHNA MOTORS,Hyderabad,India,Kavya,General
964,AX1764226580507,BOMBAY AUTO GARAGE,Kurnool,India,Kavya,BOSCH
965,AX1766379211375,BATISH AUTO CARE BARWALA,PANCHKULA,India,Rakesh,BOSCH
966,AX1766378969388,JK AUTOMOBILES,Banglore,India,Basava,BOSCH
967,AX1763035897447,AUTO XPERTZ,Chitradurga,India,Basava,BOSCH
968,AX1756876673342,MAC AUTO CARE,State: Andaman And Nicobar Islands,India,Shajan,General
969,AX1762755171614,BANGALORE MOTORS,UDUPI,India,Basava,BOSCH
970,AX1756892500220,K R S AUTOMOBILES,Ballari,India,Basava,General
971,AX1762860835236,SHIVPURI CAR SERVICES,Shivpuri,India,Basava,BOSCH
972,AX1760686351222,SHINE MOTORS,Gangavathi,India,Basava,BOSCH
973,AX1761545717377,VISHWATEJ MOTORS,Koppal,India,Basava,BOSCH
974,AX1770640841259,ANAYA AUTOMOBILES,Kathua,India,Kavya,BOSCH
975,AX1761546761448,MARUTI AUTO WORKS AND SERVICE STATION,Porbandar,India,Rakesh,BOSCH
976,AX1758257982678,M/S B.S AUTOMOBILES,YAMUNA NAGAR,India,Basava,BOSCH
977,AX1758879159804,MAHAVIR MOTORS,Mahuva,India,Rakesh,BOSCH
978,AX1765962779991,PAPA AUTOMOTIVE,Sidhi,India,Rakesh,BOSCH
979,AX1758257439430,JARVI CAR WORKSHOP,SURENDRANAGAR,India,Rakesh,BOSCH
980,AX1756989044731,TCS AUTOMOBILES,Raipur,India,Kavya,General
981,AX1756989923204,GANPATI MOTORS,Barnala,India,Kavya,BOSCH
982,AX1757051161698,SARDAR MOTOR,Bangalore,India,Basava,General
983,AX1765535261746,APEX MOTORS,Lucknow,India,Basava,BOSCH
984,AX1759317522951,PARESEEN MOTORS,Morbi,India,Kavya,BOSCH
985,AX1759743697834,GOPINATHJI MOTORS,Botad,India,Basava,BOSCH
986,AX1760346851156,KAMAL KISHORE AUTOCORP,Lucknow,India,Rakesh,BOSCH
987,AX1758257359000,CAR CARE AND COFFEE,Derabassi,India,Basava,BOSCH
988,AX1761545483552,DIXIT MOTOR,Wardha,India,Basava,BOSCH
989,AX1757309693891,LOTUS MOTORS BOSCH CAR SERVICE,BANGALORE,India,Basava,BOSCH
990,AX1771303078692,SUZUKI AUTO POINT,VADODARA,India,Rakesh,BOSCH
991,AX1762860401904,RHYTHM MOTORS,Rewari,India,Basava,BOSCH
992,AX1757328136496,ONE STOP CAR SPARES PARTS SERVICE PRIVATE LIMITED,SADASHIVPET,India,Basava,General
993,AX1757335929724,REFINE AUTOMOBILES,Navi Mumbai,India,danya,General
994,AX1757395710788,PREMIUM KAAR SERVICES (AUTONATION INDIA),Hyderabad,India,Kavya,General
995,AX1762325409675,DECCAN CAR SERVICES,Secunderabad,India,Rakesh,BOSCH
996,AX1763361880133,MP17 CAR CARE PVT LTD,REWA,India,Rakesh,BOSCH
997,AX1757495548023,REJUVIN AUTOCULT (PREMIUM CAR SERVICE),Madurai,India,Unnimaya,General
998,AX1758879616347,RELIANCE MOTORS,BHOPAL,India,Rakesh,BOSCH
999,AX1759316051563,CHAUHAN MOTORS & AUTOMOBILE,Gwalior,India,Rakesh,BOSCH
1000,AX1757501885214,KOMPRESSOR AUTO WORKS LTD,Nairobi,Kenya,Afrah/Shajan,General
1001,AX1762757269294,MAHAVEER SALES AND SERVICE,GADARWARA,India,Aniketh,BOSCH
1002,AX1757573720094,BLACK BOX PERFORMANCE,Pune,India,Sashikala,General
